TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,9,24,0,9,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2020,3,8,15,0,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2020,6,27,0,20,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2020,11,15,10,24,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2020,8,14,18,0,11XX GRANT ST,Strathcona,494254.5757,5457645.905
Break and Enter Commercial,2021,1,15,8,4,11XX GRANT ST,Strathcona,494257.3745,5457645.89
Break and Enter Commercial,2020,2,9,15,7,11XX GRANVILLE ST,Central Business District,490849.3205,5458308.785
Break and Enter Commercial,2020,6,30,1,40,11XX GRANVILLE ST,Central Business District,490885.5183,5458332.208
Break and Enter Commercial,2020,4,9,10,27,11XX GRANVILLE ST,Central Business District,490890.0931,5458336.807
Break and Enter Commercial,2020,4,9,12,57,11XX GRANVILLE ST,Central Business District,490890.0931,5458336.807
Break and Enter Commercial,2020,11,13,5,45,11XX GRANVILLE ST,Central Business District,490890.0931,5458336.807
Break and Enter Commercial,2021,2,10,3,0,11XX GRANVILLE ST,Central Business District,490910.8728,5458370.663
Break and Enter Commercial,2020,4,28,5,47,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,5,2,3,27,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,6,21,4,50,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,10,15,7,34,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2021,1,22,5,55,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2021,1,24,5,25,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2020,12,28,17,0,11XX HAMILTON ST,Central Business District,491122.3361,5458071.549
Break and Enter Commercial,2020,4,16,4,3,11XX HAMILTON ST,Central Business District,491162.2843,5458098.755
Break and Enter Commercial,2020,3,25,15,0,11XX HAMILTON ST,Central Business District,491165.4836,5458114.94
Break and Enter Commercial,2020,12,27,8,20,11XX HAMILTON ST,Central Business District,491169.8317,5458106.345
Break and Enter Commercial,2020,5,28,5,20,11XX HAMILTON ST,Central Business District,491176.1637,5458125.681
Break and Enter Commercial,2020,9,28,4,30,11XX HAMILTON ST,Central Business District,491176.1637,5458125.681
Break and Enter Commercial,2020,10,27,3,44,11XX HAMILTON ST,Central Business District,491176.1637,5458125.681
Break and Enter Commercial,2020,4,20,4,11,11XX HARO ST,West End,490746.6786,5459115.701
Break and Enter Commercial,2020,7,26,10,2,11XX HARO ST,West End,490746.6786,5459115.701
Break and Enter Commercial,2020,12,8,11,43,11XX HARO ST,West End,490746.6786,5459115.701
Break and Enter Commercial,2021,2,11,7,58,11XX HARO ST,West End,490800.6769,5459060.294
Break and Enter Commercial,2020,12,14,10,36,11XX HARWOOD ST,West End,490220.0342,5458566.347
Break and Enter Commercial,2020,5,1,17,0,11XX HARWOOD ST,West End,490251.8691,5458534.913
Break and Enter Commercial,2020,3,27,6,32,11XX HARWOOD ST,West End,490259.9148,5458514.118
Break and Enter Commercial,2020,2,29,8,31,11XX HARWOOD ST,West End,490291.7498,5458482.683
Break and Enter Commercial,2020,9,12,22,3,11XX HOMER ST,Central Business District,491100.1043,5458121.729
Break and Enter Commercial,2020,4,6,1,13,11XX HOMER ST,Central Business District,491106.5262,5458128.117
Break and Enter Commercial,2020,9,12,0,0,11XX HORNBY ST,Central Business District,490705.344,5458446.092
Break and Enter Commercial,2020,6,30,0,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2020,11,16,3,38,11XX HORNBY ST,Central Business District,490761.5509,5458491.19
Break and Enter Commercial,2020,1,31,5,30,11XX HOWE ST,Central Business District,490761.5547,5458365.959
Break and Enter Commercial,2020,2,18,4,0,11XX HOWE ST,Central Business District,490761.5547,5458365.959
Break and Enter Commercial,2020,2,25,3,41,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,6,6,4,0,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,6,22,4,30,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,9,11,5,29,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,11,3,13,40,11XX HOWE ST,Central Business District,490768.0621,5458359.535
Break and Enter Commercial,2020,1,1,12,36,11XX HOWE ST,Central Business District,490776.4628,5458368.045
Break and Enter Commercial,2020,10,13,7,0,11XX HOWE ST,Central Business District,490828.7603,5458434.037
Break and Enter Commercial,2021,1,2,16,0,11XX HOWE ST,Central Business District,490828.7603,5458434.037
Break and Enter Commercial,2020,10,14,18,0,11XX IRONWORK PASS,Fairview,490578.5063,5457256.791
Break and Enter Commercial,2020,3,9,4,29,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,9,23,16,12,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,9,24,8,40,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,9,29,10,38,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,10,30,11,46,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2020,1,17,4,42,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2020,10,21,1,45,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2020,11,2,17,30,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2020,4,9,3,52,11XX MAIN ST,Central Business District,492719.3168,5457950.087
Break and Enter Commercial,2020,3,10,13,17,11XX MAIN ST,Central Business District,492719.4125,5457952.841
Break and Enter Commercial,2021,1,6,2,38,11XX MAIN ST,Central Business District,492719.7044,5457961.239
Break and Enter Commercial,2020,5,10,16,15,11XX MAIN ST,Central Business District,492720.8486,5457994.155
